drug_id,drug_name,drug_common,indication_id,indication,category,weight_type,step_idx,step_name,route,preparation,concentration,concentration_unit,dose_text,weight_min,weight,min,max,dilution_volume,debit,administration,concentration_note,particularity,reference_snippet
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,52.6,0,0,50,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,52.6,0,0,100,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,55.1,0,0,50,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,55.1,0,0,100,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,57.6,0,0,50,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
84,Folic acid,Vitamin B9,851,Adjuvant in methanol intoxication,Uncategorized,1,0,,,Administer IV undiluted with syringe pump,5,mg/mL,,57.6,0,0,100,0,0,"Administer undiluted with syringe pump at a rate of 5 mg/min. If a syringe pump is not available, administer on pump at the same rate by putting in an empty bag.  In case of elevated anion gap without metabolic acidosis: 1 mg/kg. Repeat the dose every 6 hours until the intoxication resolves.  In case of elevated anion gap with metabolic acidosis: 2 mg/kg. Repeat the dose every 4-6 hours until the intoxication resolves and the metabolic acidosis is corrected. Adjust the dose and the interval according to the severity of the acidosis and patient characteristics (denutrition, alcoholism, etc.).",,"Y-site compatible with D5W, NaCl, LR.   Maximum doses: 1 mg/kg up to 50 mg and 2 mg/kg up to 100 mg. (Expert advice)","- Canadian antidote guide in acute care toxicology [https://www.ciusss-capitalenationale.gouv.qc.ca/antidotes] - Howland MA, Folates: Leucovorin (Folinic Acid) and Folic Acid, In: Hoffman RS, Nelson LS, Howland MA, Lewin NA, Flomenbaum NE. Goldfrank’s manual of toxicologic emergencies, 10th ed: McGr"
85,Tranexamic acid,Cyklokapron®,1532,Hemorrhage (miscellaneous/non traumatic),Uncategorized,1,0,Bolus,IV over 5 min,"Administer IV undiluted or diluted up to 10 mL of NaCl 0,9%",100,mg/mL,,0,0,0,1000,0,0,Do not administer via the same IV access as blood products.,,"• Consider for patients with post-thrombolytic hemorrhage, perioperative bleeding, dental treatments in a patients with coagulopathy, hemoptysis or uterine bleeding, but also for patients with traumatic bleeding (see separate entries for trauma). • Consider topical administration when possible (e.g. epistaxis, dental treatments). • Consider nebulization in patients with hemoptysis (see separate entry). • Tranexamic acid is not recommended for clinically significant upper gastrointestinal bleeding.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
85,Tranexamic acid,Cyklokapron®,1662,"Angioedema, bradykinin-mediated (treatment)",Uncategorized,1,0,Bolus,IV over 5 min,"Administer IV undiluted or diluted up to 10 mL of NaCl 0,9%",100,mg/mL,,0,0,0,1000,0,0,Administration in 5 minutes is safe and keeps IV access available in case of emergency.,,"• Therapies for angioedema should never delay securing the airway. • The efficacy of tranexamic acid remains controversial in angioedema because of the lack of definitive studies. However, tranexamic acid is safe, widely available and easy to administer which makes it a therapy to consider for bradykinin-mediated angioedema. • For hereditary angioedema cases, administer 1st line agents when possible (e.g. C1-esterase inhibitor, icatibant).","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
85,Tranexamic acid,Cyklokapron®,1745,Nebulization for hemoptysis/post-tonsillectomy hemorrhage,Uncategorized,1,0,,,Administer by nebulizer undiluted,100,mg/mL,250 mg (2.5 mL),2,0,0,0,0,0,"• Do not dilute for faster administration. • Consider using a mouth piece rather than a mask to better direct the nebulization in non intubated patients. • Can be instilled directly into the endotracheal tube followed by 1-2 mL (< 10 Kg) or 2-5 mL (≥ 10 Kg) of NaCl 0.9% in emergency situations in already intubated patients.  • In intubated infants, aspiration of clots post-hemoptysis may be difficult and require additional manipulation secondary to the small size of the endotracheal tube. Consider consulting a pediatric airway specialist promptly.",,Can be repeated every 6-8 hours as needed.,"- Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Bafaqih H, Chehab M, Almohaimeed S, Thabet F, Alhejaily A, AlShahrani M, Zolaly MA, Abdelmoneim AA, Abd ES. Pilot trial of a novel two-step therapy protocol using nebulized tranexamic acid and recombinant factor VI"
85,Tranexamic acid,Cyklokapron®,1745,Nebulization for hemoptysis/post-tonsillectomy hemorrhage,Uncategorized,1,0,,,Administer by nebulizer undiluted,100,mg/mL,250-500 mg (2.5-5 mL),25.1,0,0,0,0,0,"• Do not dilute for faster administration. • Consider using a mouth piece rather than a mask to better direct the nebulization in non intubated patients. • Can be instilled directly into the endotracheal tube followed by 1-2 mL (< 10 Kg) or 2-5 mL (≥ 10 Kg) of NaCl 0.9% in emergency situations in already intubated patients.  • In intubated infants, aspiration of clots post-hemoptysis may be difficult and require additional manipulation secondary to the small size of the endotracheal tube. Consider consulting a pediatric airway specialist promptly.",,Can be repeated every 6-8 hours as needed.,"- Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Bafaqih H, Chehab M, Almohaimeed S, Thabet F, Alhejaily A, AlShahrani M, Zolaly MA, Abdelmoneim AA, Abd ES. Pilot trial of a novel two-step therapy protocol using nebulized tranexamic acid and recombinant factor VI"
